Rosimeire.Souza@gmail.com,Emílio Martins,(62) 42881-6669,31115350293,50859 Batista Alameda
rene.epcrdz@gmail.com,Renê Cardozo,(11) 99999-9999,12345678909,225 Rua Jaceru
rene.epcrdz@gmail.com,Renê Cardozo,(11) 99999-9999,12345678909,225 Rua Jaceru
Carmencita12@gmail.com,Maisa Carvalho,+55 (13) 8798-4114,58122781217,330 Saikinia Viela
Adilmar.Costa@gmail.com,Lea Pereira,(44) 2969-4431,82540844162,240 Silva Alameda
Wladimir_Santos@yahoo.com,Sra. Selma Moraes,+55 (48) 2117-3457,19117671515,9671 Elvira Travessa
rene.epcrdz@gmail.com,Renê Cardozo,(11) 99999-9999,12345678909,225 Rua Jaceru
rene.epcrdz@gmail.com,Renê Cardozo,(11) 99999-9999,12345678909,225 Rua Jaceru
Gidelto.Santos@bol.com.br,Maila Barros,(02) 8627-8273,42711447383,34526 Santos Travessa
Waldemir_Santos43@bol.com.br,Valdenir Saraiva,(53) 69761-6392,73582897907,44518 Carvalho Rua
Matosinho6@hotmail.com,Elder Moreira,+55 (79) 3971-3975,42548633063,959 Iracy Alameda
Ivonise.Nogueira@gmail.com,Otaciano Braga,(76) 26244-0901,37666447698,994 Carvalho Rua
Rucy81@bol.com.br,Dr. Priscila Melo,+55 (88) 8977-3415,83369454661,61271 Moreira Avenida
rene.epcrdz@gmail.com,Renê Cardozo,(11) 99999-9999,12345678909,225 Rua Jaceru
Cristiani_Nogueira51@bol.com.br,Izilda Carvalho,+55 (98) 1864-4154,44190744930,7400 Pereira Avenida
Onofre4@hotmail.com,Honero Moraes,(21) 79438-6026,38718327230,8099 Souza Avenida
rene.epcrdz@gmail.com,Renê Cardozo,(11) 99999-9999,12345678909,225 Rua Jaceru
Henri84@gmail.com,Cinara Moraes,+55 (47) 5900-8297,03753240206,84488 Gesser Viela
Jeremias_Moreira64@gmail.com,Rogênio Souza,(26) 2353-5690,15442052523,9620 Braga Rodovia
rene.epcrdz@gmail.com,Renê Cardozo,(11) 99999-9999,12345678909,225 Rua Jaceru
Neusa.Costa@gmail.com,Hubert Macedo,+55 (93) 0241-2144,31244103780,56582 Gleison Viela
rene.epcrdz@gmail.com,Renê Cardozo,(11) 99999-9999,12345678909,225 Rua Jaceru
rene.epcrdz@gmail.com,Renê Cardozo,(11) 99999-9999,12345678909,225 Rua Jaceru
Cinthia_Moraes44@live.com,Arivaldo Martins,(91) 5162-8505,75784636405,09810 Costa Travessa
Sabrina12@bol.com.br,Elisabete Braga,(31) 6688-0398,10291848796,78348 Macedo Ponte
Arlette60@yahoo.com,Dr. Delcio Reis,(53) 4036-6211,84696742504,4370 Carvalho Viela
Giuma_Nogueira36@bol.com.br,Sr. Delfino Melo,(34) 48695-3616,79268316463,5595 Masaru Ponte
